,text,like,retweet,id,user,created_at
32,"「買い物弱者」ネットでも　高齢者のトラブル相談急増
https://t.co/uQNU8sX2Wq",48,24,1317150273438060544,nikkei,Fri Oct 16 17:07:51 +0000 2020
33,"公取委、携帯市場を再調査へ　販売慣行や中古流通
https://t.co/KbrDpHnkL6",35,23,1317150272142016518,nikkei,Fri Oct 16 17:07:51 +0000 2020
34,"東証、システム障害で報告書　証券各社と協議会設置
https://t.co/zk4QxagXia",62,15,1317113066840940546,nikkei,Fri Oct 16 14:40:00 +0000 2020
35,"NYダウ反発で始まる　小売売上高を好感
https://t.co/HsHVL1AwxI",45,19,1317109024987303936,nikkei,Fri Oct 16 14:23:56 +0000 2020
36,"英・EU、迫る時間切れ　英首相「FTAなし準備を」
https://t.co/L1tFqPwNTa",52,20,1317105738766979073,nikkei,Fri Oct 16 14:10:53 +0000 2020
37,"富士フイルム、アビガンの承認申請　海外販売へ前進
https://t.co/iitWRsDCqy",206,71,1317101232951971842,nikkei,Fri Oct 16 13:52:59 +0000 2020
38,"iPhone12、携帯3社の価格出そろう
https://t.co/v1inNZUWhK",96,39,1317096170439675904,nikkei,Fri Oct 16 13:32:52 +0000 2020
39,"欧州最安EV投入　ルノーCEO、中国勢の進出に警戒感
https://t.co/11iI63CCw3",37,20,1317095654083026948,nikkei,Fri Oct 16 13:30:49 +0000 2020
40,"JR九州「36ぷらす3」、出発進行　旅行喚起に期待
https://t.co/j4RCgFoiVa",129,48,1317089628411736066,nikkei,Fri Oct 16 13:06:52 +0000 2020
41,"ファストリ、時価総額で任天堂逆転　「DX」化に評価
https://t.co/1tQbwNmMhB",214,71,1317086634353905665,nikkei,Fri Oct 16 12:54:58 +0000 2020
42,"コスパよく酸化しにくい　紙箱入りワイン注目アイテム
https://t.co/xCYp8qyo6R",70,21,1317085106213855232,nikkei,Fri Oct 16 12:48:54 +0000 2020
43,"レムデシビル、コロナ死亡率減に効果ほぼ無し　WHO
https://t.co/9TyVR7oSuT",414,259,1317082108699947008,nikkei,Fri Oct 16 12:36:59 +0000 2020
44,"福島第1廃炉へ迫る期限　処理水海洋放出、月内決定へ
https://t.co/5aZTh2PRqH",33,17,1317076038757740544,nikkei,Fri Oct 16 12:12:52 +0000 2020
45,"KDDI社長、携帯値下げ「近く示す」
https://t.co/5QVlhCcO3g",122,52,1317075818699354112,nikkei,Fri Oct 16 12:11:59 +0000 2020
46,"新型コロナウイルス治療薬「レムデシビル」を投与しても入院患者の死亡率や、人工呼吸器の使用率の改善にはほとんど効果なし。WHOの臨床試験（治験）結果をフィナンシャル・タイムズ（FT）が報じました。
https://t.co/i15psAbWpq",181,126,1317074424672256000,nikkei,Fri Oct 16 12:06:27 +0000 2020
47,"7月豪雨の避難者数、自治体把握の5倍か　熊本・球磨村
https://t.co/dEnzTKlU59",37,24,1317069736484556801,nikkei,Fri Oct 16 11:47:49 +0000 2020
48,"神戸アイセンター、iPS視細胞を初移植
https://t.co/y4aYzzc0bS",113,35,1317068508614725634,nikkei,Fri Oct 16 11:42:57 +0000 2020
49,"家庭や事業所でテレビを設置した際に届け出を義務化する制度改正を、NHKが総務省の有識者会議で要望。実現すれば受信契約の対象者を把握しやすくなり、公平な受信料負担を実現できると主張しました。
https://t.co/XmyKaVHIX9",108,89,1317068500435861505,nikkei,Fri Oct 16 11:42:55 +0000 2020
50,"トランプ氏、コロナで防戦　大統領選両候補が対話集会
https://t.co/BSKBMbErdz",23,1,1317066735426523137,nikkei,Fri Oct 16 11:35:54 +0000 2020
51,"税・予算で中小再編促す　成長戦略会議が初会合
https://t.co/ds04tYUTge",24,13,1317065971140489216,nikkei,Fri Oct 16 11:32:52 +0000 2020
52,"AIアナが読むニュース　夕方の4本
https://t.co/rhNEjNiaYu",12,2,1317063977495535619,nikkei,Fri Oct 16 11:24:56 +0000 2020
53,"［社説］新型コロナが示した小売業の教訓
https://t.co/XgDEHkkxyT",30,6,1317055153938210819,nikkei,Fri Oct 16 10:49:53 +0000 2020
54,"［社説］非正規の処遇改善を着実に
https://t.co/1SOBNw1aS2",47,16,1317047872060182528,nikkei,Fri Oct 16 10:20:56 +0000 2020
55,"ハンコが必要な約1万5000種類の手続きで、各府省が押印を存続する方針なのは1%未満の111種類。河野太郎規制改革相が、民間からの申請など行政手続きで求める押印の99%を廃止できる見込みだと明らかにしました。
https://t.co/M76HQgv73S",1304,423,1317047732339695617,nikkei,Fri Oct 16 10:20:23 +0000 2020
56,"ドコモの「4兆円」どこへ　再投資先、高配当株ふるい
https://t.co/SZzfQVhYcj",93,23,1317043327473131521,nikkei,Fri Oct 16 10:02:53 +0000 2020
57,"今後5年間、グループ全体で年3000人規模が定年を迎えるNEC。新会社「NECライフキャリア」を通じ、ITエンジニアなど高度な専門知識を持つシニア人材の就業支援に乗り出します。#日経イブニングスクープ
https://t.co/nHdSZGmFyt",166,62,1317035089889558528,nikkei,Fri Oct 16 09:30:09 +0000 2020
58,"NEC、自社のシニア人材派遣で新会社　大量定年対応
https://t.co/MpoCGDO76c",188,87,1317028743643160576,nikkei,Fri Oct 16 09:04:56 +0000 2020
59,"首相、日本学術会議の梶田会長と会談　「社会に貢献を」
https://t.co/5wsjmOGnRm",36,17,1317025205647142913,nikkei,Fri Oct 16 08:50:52 +0000 2020
60,"住宅ローン減税、コロナで特例　入居要件21年まで延長
https://t.co/AWpOPDjhCU",87,32,1317018946663444480,nikkei,Fri Oct 16 08:26:00 +0000 2020
61,"物言う株主の要求、コロナでも活発　今年は過去最多22件
https://t.co/ev3p2ZDeA3",44,18,1317014148140593152,nikkei,Fri Oct 16 08:06:56 +0000 2020
62,乗り入れている銀座線、丸ノ内線、日比谷線それぞれの改札口に、光る柱を計130本設置。改札内の天井には和光本館や三越銀座店など周辺施設の写真を示し、行き先の方向を分かりやすく。東京メトロが銀座駅をリニューアルしました。… https://t.co/b3Fxw9bIMt,240,93,1317010646203064322,nikkei,Fri Oct 16 07:53:01 +0000 2020
63,"タクシー、出前に活路 　安心感や輸送量を利用者評価
https://t.co/JlYykPmDa2",78,15,1317008076961058816,nikkei,Fri Oct 16 07:42:49 +0000 2020
64,"GoToトラベル予算を配分するための地域ごとの枠の適用を当面見合わせると赤羽一嘉国土交通相。また、割引制限をした旅行会社から商品を購入した人に対し、割引額との差額分を各社の独自ポイントで還元します。
https://t.co/koizq9FMxW",57,15,1316987580680986625,nikkei,Fri Oct 16 06:21:22 +0000 2020
